Registros com >40h semanais ordenados por workclass:

?               | Bachelors       | 45h/semana
Private         | Bachelors       | 55h/semana
Private         | 7th-8th         | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 55h/semana
Private         | Assoc-voc       | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 56h/semana
Private         | 11th            | 45h/semana
Private         | Masters         | 48h/semana
Private         | Assoc-acdm      | 45h/semana
Private         | Some-college    | 55h/semana
Private         | HS-grad         | 81h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 60h/semana
Private         | HS-grad         | 48h/semana
Private         | Bachelors       | 55h/semana
Private         | HS-grad         | 45h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | Assoc-voc       | 55h/semana
Private         | Some-college    | 42h/semana
Private         | 9th             | 48h/semana
Private         | Some-college    | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | Some-college    | 50h/semana
Private         | 1st-4th         | 53h/semana
Private         | Some-college    | 60h/semana
Private         | Bachelors       | 60h/semana
Private         | 11th            | 50h/semana
Private         | Some-college    | 50h/semana
Private         | Assoc-voc       | 50h/semana
Private         | HS-grad         | 70h/semana
Private         | Assoc-acdm      | 65h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 55h/semana
Private         | Some-college    | 43h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 55h/semana
Private         | Some-college    | 50h/semana
Private         | Masters         | 45h/semana
Private         | 7th-8th         | 64h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 43h/semana
Private         | Some-college    | 44h/semana
Private         | HS-grad         | 44h/semana
Private         | HS-grad         | 50h/semana
Private         | Some-college    | 70h/semana
Private         | 11th            | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 48h/semana
Private         | HS-grad         | 70h/semana
Private         | Bachelors       | 45h/semana
Private         | 9th             | 50h/semana
Private         | 11th            | 50h/semana
Private         | HS-grad         | 48h/semana
Private         | HS-grad         | 45h/semana
Private         | Assoc-voc       | 48h/semana
Private         | Some-college    | 60h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | 10th            | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | Assoc-voc       | 50h/semana
Private         | Bachelors       | 48h/semana
Private         | Some-college    | 50h/semana
Private         | Bachelors       | 55h/semana
Private         | Masters         | 45h/semana
Private         | HS-grad         | 60h/semana
Private         | Some-college    | 50h/semana
Private         | Bachelors       | 60h/semana
Private         | Masters         | 50h/semana
Private         | HS-grad         | 42h/semana
Private         | Bachelors       | 72h/semana
Private         | 11th            | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 48h/semana
Private         | Some-college    | 55h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | Some-college    | 48h/semana
Private         | 12th            | 45h/semana
Private         | Some-college    | 50h/semana
Private         | Masters         | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 45h/semana
Private         | Prof-school     | 80h/semana
Private         | HS-grad         | 52h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 54h/semana
Private         | Some-college    | 50h/semana
Private         | Bachelors       | 43h/semana
Private         | Assoc-acdm      | 60h/semana
Private         | 1st-4th         | 56h/semana
Private         | Some-college    | 46h/semana
Private         | HS-grad         | 50h/semana
Private         | Assoc-voc       | 49h/semana
Private         | 7th-8th         | 91h/semana
Private         | Some-college    | 70h/semana
Private         | Assoc-voc       | 45h/semana
Private         | Bachelors       | 55h/semana
Private         | Bachelors       | 45h/semana
Private         | Some-college    | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | Some-college    | 42h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 70h/semana
Private         | HS-grad         | 50h/semana
Private         | Some-college    | 55h/semana
Private         | Bachelors       | 60h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 45h/semana
Private         | Some-college    | 45h/semana
Private         | 10th            | 60h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 72h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 85h/semana
Private         | Bachelors       | 45h/semana
Private         | 10th            | 43h/semana
Private         | 9th             | 50h/semana
Private         | Doctorate       | 60h/semana
Private         | Bachelors       | 60h/semana
Private         | Masters         | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 65h/semana
Private         | HS-grad         | 80h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | Some-college    | 43h/semana
Private         | Some-college    | 65h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 52h/semana
Private         | 11th            | 50h/semana
Private         | Bachelors       | 60h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | Some-college    | 48h/semana
Private         | Some-college    | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 60h/semana
Private         | Assoc-voc       | 60h/semana
Private         | Some-college    | 48h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 52h/semana
Private         | Some-college    | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | Some-college    | 42h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 44h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 55h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 45h/semana
Private         | Assoc-voc       | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | Prof-school     | 45h/semana
Private         | Some-college    | 48h/semana
Private         | Bachelors       | 70h/semana
Private         | HS-grad         | 50h/semana
Private         | 9th             | 65h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | 11th            | 65h/semana
Private         | HS-grad         | 42h/semana
Private         | Prof-school     | 45h/semana
Private         | Assoc-acdm      | 45h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 55h/semana
Private         | Bachelors       | 60h/semana
Private         | Some-college    | 43h/semana
Private         | HS-grad         | 50h/semana
Private         | Assoc-acdm      | 45h/semana
Private         | HS-grad         | 48h/semana
Private         | HS-grad         | 42h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 99h/semana
Private         | HS-grad         | 72h/semana
Private         | Some-college    | 60h/semana
Private         | Bachelors       | 44h/semana
Private         | 1st-4th         | 96h/semana
Private         | HS-grad         | 70h/semana
Private         | Bachelors       | 44h/semana
Private         | HS-grad         | 65h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 49h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 44h/semana
Private         | Masters         | 53h/semana
Private         | 9th             | 50h/semana
Private         | 11th            | 56h/semana
Private         | 11th            | 60h/semana
Private         | Bachelors       | 55h/semana
Private         | Bachelors       | 45h/semana
Private         | Doctorate       | 60h/semana
Private         | Masters         | 48h/semana
Private         | HS-grad         | 48h/semana
Private         | Bachelors       | 42h/semana
Private         | Bachelors       | 42h/semana
Private         | Assoc-acdm      | 45h/semana
Private         | Some-college    | 60h/semana
Private         | Some-college    | 60h/semana
Private         | HS-grad         | 60h/semana
Private         | Some-college    | 54h/semana
Private         | Masters         | 44h/semana
Private         | Assoc-acdm      | 60h/semana
Private         | Bachelors       | 52h/semana
Private         | Assoc-voc       | 41h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | Assoc-voc       | 48h/semana
Private         | 9th             | 44h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 55h/semana
Private         | Prof-school     | 99h/semana
Private         | Some-college    | 45h/semana
Private         | Assoc-acdm      | 60h/semana
Private         | Bachelors       | 60h/semana
Private         | HS-grad         | 55h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 48h/semana
Private         | HS-grad         | 42h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 55h/semana
Private         | Prof-school     | 50h/semana
Private         | Some-college    | 50h/semana
Private         | Masters         | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 48h/semana
Private         | Masters         | 55h/semana
Private         | Some-college    | 45h/semana
Private         | 10th            | 60h/semana
Private         | Masters         | 99h/semana
Private         | Bachelors       | 48h/semana
Private         | 10th            | 56h/semana
Private         | Masters         | 45h/semana
Private         | Doctorate       | 50h/semana
Private         | Bachelors       | 60h/semana
Private         | Assoc-voc       | 42h/semana
Private         | Doctorate       | 50h/semana
Private         | 5th-6th         | 56h/semana
Private         | Masters         | 50h/semana
Private         | 9th             | 60h/semana
Private         | 7th-8th         | 45h/semana
Private         | HS-grad         | 60h/semana
Private         | Bachelors       | 65h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 44h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 65h/semana
Private         | HS-grad         | 53h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 55h/semana
Private         | HS-grad         | 42h/semana
Private         | HS-grad         | 65h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 44h/semana
Private         | Bachelors       | 50h/semana
Private         | Masters         | 50h/semana
Private         | HS-grad         | 58h/semana
Private         | HS-grad         | 44h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 65h/semana
Private         | HS-grad         | 44h/semana
Private         | Bachelors       | 45h/semana
Private         | 5th-6th         | 45h/semana
Private         | Some-college    | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | 9th             | 46h/semana
Private         | Masters         | 50h/semana
Private         | 11th            | 43h/semana
Private         | Bachelors       | 60h/semana
Private         | Bachelors       | 50h/semana
Private         | Doctorate       | 60h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 55h/semana
Private         | HS-grad         | 80h/semana
Private         | Assoc-voc       | 45h/semana
Private         | Masters         | 70h/semana
Private         | Masters         | 55h/semana
Private         | Some-college    | 45h/semana
Private         | Masters         | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 70h/semana
Private         | Bachelors       | 50h/semana
Private         | Masters         | 66h/semana
Private         | Some-college    | 45h/semana
Private         | Masters         | 45h/semana
Private         | Prof-school     | 60h/semana
Private         | HS-grad         | 44h/semana
Private         | Bachelors       | 50h/semana
Private         | 9th             | 45h/semana
Private         | HS-grad         | 52h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 48h/semana
Private         | Some-college    | 60h/semana
Private         | Bachelors       | 42h/semana
Private         | HS-grad         | 48h/semana
Private         | Bachelors       | 44h/semana
Private         | Bachelors       | 55h/semana
Private         | Assoc-voc       | 45h/semana
Private         | Bachelors       | 60h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | Masters         | 45h/semana
Private         | Assoc-voc       | 60h/semana
Private         | HS-grad         | 44h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | Some-college    | 45h/semana
Private         | Some-college    | 65h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 55h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 99h/semana
Private         | HS-grad         | 65h/semana
Private         | 9th             | 45h/semana
Private         | HS-grad         | 64h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 48h/semana
Private         | HS-grad         | 60h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 52h/semana
Private         | HS-grad         | 50h/semana
Private         | Some-college    | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 70h/semana
Private         | Bachelors       | 45h/semana
Private         | Some-college    | 50h/semana
Private         | Bachelors       | 48h/semana
Private         | Prof-school     | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 60h/semana
Private         | Bachelors       | 43h/semana
Private         | Bachelors       | 45h/semana
Private         | 5th-6th         | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | 10th            | 41h/semana
Private         | HS-grad         | 60h/semana
Private         | 5th-6th         | 65h/semana
Private         | 11th            | 49h/semana
Private         | 5th-6th         | 54h/semana
Private         | Assoc-voc       | 50h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 45h/semana
Private         | HS-grad         | 48h/semana
Private         | Some-college    | 60h/semana
Private         | Bachelors       | 56h/semana
Private         | HS-grad         | 45h/semana
Private         | Masters         | 50h/semana
Private         | HS-grad         | 80h/semana
Private         | Masters         | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 65h/semana
Private         | HS-grad         | 50h/semana
Private         | Some-college    | 60h/semana
Private         | HS-grad         | 46h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 60h/semana
Private         | Some-college    | 48h/semana
Private         | HS-grad         | 52h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 55h/semana
Private         | Masters         | 45h/semana
Private         | Some-college    | 52h/semana
Private         | Some-college    | 63h/semana
Private         | HS-grad         | 80h/semana
Private         | Assoc-voc       | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 60h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 50h/semana
Private         | Bachelors       | 45h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Doctorate       | 70h/semana
Self-emp-inc    | Assoc-acdm      | 50h/semana
Self-emp-inc    | Bachelors       | 43h/semana
Self-emp-inc    | HS-grad         | 45h/semana
Self-emp-inc    | Bachelors       | 52h/semana
Self-emp-inc    | Some-college    | 45h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | HS-grad         | 47h/semana
Self-emp-inc    | HS-grad         | 55h/semana
Self-emp-inc    | Prof-school     | 60h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Prof-school     | 60h/semana
Self-emp-inc    | Assoc-voc       | 56h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Prof-school     | 65h/semana
Self-emp-inc    | Masters         | 60h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | HS-grad         | 70h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | HS-grad         | 45h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | HS-grad         | 51h/semana
Self-emp-inc    | Prof-school     | 60h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Prof-school     | 65h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | HS-grad         | 45h/semana
Self-emp-inc    | Some-college    | 70h/semana
Self-emp-inc    | HS-grad         | 81h/semana
Self-emp-inc    | Assoc-acdm      | 50h/semana
Self-emp-inc    | HS-grad         | 45h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | HS-grad         | 70h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Bachelors       | 62h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Prof-school     | 50h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Prof-school     | 80h/semana
Self-emp-inc    | HS-grad         | 70h/semana
Self-emp-inc    | 7th-8th         | 50h/semana
Self-emp-inc    | Some-college    | 75h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | HS-grad         | 43h/semana
Self-emp-inc    | HS-grad         | 45h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Some-college    | 44h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Doctorate       | 60h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Masters         | 65h/semana
Self-emp-inc    | Assoc-acdm      | 50h/semana
Self-emp-inc    | 7th-8th         | 50h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Doctorate       | 65h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | 7th-8th         | 50h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | HS-grad         | 48h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Some-college    | 45h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | HS-grad         | 62h/semana
Self-emp-inc    | Assoc-voc       | 60h/semana
Self-emp-inc    | Bachelors       | 65h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Prof-school     | 55h/semana
Self-emp-inc    | Masters         | 45h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Some-college    | 80h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Prof-school     | 60h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Doctorate       | 60h/semana
Self-emp-inc    | Prof-school     | 60h/semana
Self-emp-inc    | Assoc-acdm      | 60h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Masters         | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Masters         | 50h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Some-college    | 65h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Some-college    | 90h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Bachelors       | 44h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Assoc-acdm      | 60h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | 12th            | 45h/semana
Self-emp-inc    | 9th             | 50h/semana
Self-emp-inc    | Masters         | 55h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Masters         | 68h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | HS-grad         | 44h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Some-college    | 54h/semana
Self-emp-inc    | Prof-school     | 43h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Bachelors       | 55h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | HS-grad         | 84h/semana
Self-emp-inc    | Assoc-acdm      | 68h/semana
Self-emp-inc    | Assoc-acdm      | 50h/semana
Self-emp-inc    | Some-college    | 70h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Assoc-acdm      | 55h/semana
Self-emp-inc    | Bachelors       | 55h/semana
Self-emp-inc    | Prof-school     | 50h/semana
Self-emp-inc    | Masters         | 60h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | HS-grad         | 78h/semana
Self-emp-inc    | Prof-school     | 50h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | HS-grad         | 45h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | HS-grad         | 70h/semana
Self-emp-inc    | Assoc-acdm      | 50h/semana
Self-emp-inc    | Bachelors       | 55h/semana
Self-emp-inc    | Some-college    | 70h/semana
Self-emp-inc    | HS-grad         | 70h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Assoc-acdm      | 50h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Prof-school     | 60h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Masters         | 50h/semana
Self-emp-inc    | HS-grad         | 57h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | HS-grad         | 45h/semana
Self-emp-inc    | Prof-school     | 50h/semana
Self-emp-inc    | Doctorate       | 60h/semana
Self-emp-inc    | HS-grad         | 65h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | HS-grad         | 45h/semana
Self-emp-inc    | Some-college    | 45h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Prof-school     | 55h/semana
Self-emp-inc    | Prof-school     | 55h/semana
Self-emp-inc    | Bachelors       | 70h/semana
Self-emp-inc    | Bachelors       | 42h/semana
Self-emp-inc    | Some-college    | 55h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Doctorate       | 50h/semana
Self-emp-inc    | Masters         | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Assoc-acdm      | 50h/semana
Self-emp-inc    | Some-college    | 48h/semana
Self-emp-inc    | Some-college    | 45h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Prof-school     | 99h/semana
Self-emp-inc    | Prof-school     | 50h/semana
Self-emp-inc    | Masters         | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | HS-grad         | 55h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | 11th            | 60h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Masters         | 70h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | HS-grad         | 55h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Doctorate       | 50h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Some-college    | 45h/semana
Self-emp-inc    | 7th-8th         | 52h/semana
Self-emp-inc    | HS-grad         | 55h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Masters         | 70h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Doctorate       | 60h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Masters         | 60h/semana
Self-emp-inc    | Assoc-acdm      | 45h/semana
Self-emp-inc    | Prof-school     | 50h/semana
Self-emp-inc    | Bachelors       | 55h/semana
Self-emp-inc    | Bachelors       | 70h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Prof-school     | 50h/semana
Self-emp-inc    | Some-college    | 65h/semana
Self-emp-inc    | HS-grad         | 48h/semana
Self-emp-inc    | Some-college    | 55h/semana
Self-emp-inc    | Masters         | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Some-college    | 80h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Masters         | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Masters         | 48h/semana
Self-emp-inc    | HS-grad         | 42h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Doctorate       | 99h/semana
Self-emp-inc    | Assoc-acdm      | 50h/semana
Self-emp-inc    | HS-grad         | 55h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Bachelors       | 65h/semana
Self-emp-inc    | Assoc-voc       | 70h/semana
Self-emp-inc    | Masters         | 70h/semana
Self-emp-inc    | Prof-school     | 50h/semana
Self-emp-inc    | HS-grad         | 65h/semana
Self-emp-inc    | HS-grad         | 48h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Some-college    | 70h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Bachelors       | 55h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Masters         | 45h/semana
Self-emp-inc    | Doctorate       | 60h/semana
Self-emp-inc    | Assoc-acdm      | 45h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Masters         | 45h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
